threshold, precisionMatchings, recallMatchings, avgPrecisions, avgRecalls, d1, d2, d1d2
0, 0.04011461, 1.0, 0.042293906, 1.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, annamaria_bagnasco/orig23
0.2, 0.3548387, 0.78571427, 0.21153846, 0.9423077, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, annamaria_bagnasco/orig23
0.4, 1.0, 0.21428572, 1.0, 0.1875, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, annamaria_bagnasco/orig23
0.6, 1.0, 0.0, 1.0, 0.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, annamaria_bagnasco/orig23
0.8, 1.0, 0.0, 1.0, 0.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, annamaria_bagnasco/orig23
1, 1.0, 0.0, 1.0, 0.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, annamaria_bagnasco/orig23
0, 0.05882353, 0.42307693, 0.06368313, 0.973545, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig4.html, annamaria_bagnasco/orig24
0.2, 0.16296296, 0.42307693, 0.1187724, 0.96543777, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig4.html, annamaria_bagnasco/orig24
0.4, 0.48314607, 0.41346154, 0.43387097, 0.92442393, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig4.html, annamaria_bagnasco/orig24
0.6, 0.42307693, 0.10576923, 0.63461536, 0.6923077, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig4.html, annamaria_bagnasco/orig24
0.8, 0.0, 0.0, 0.8095238, 0.14285715, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig4.html, annamaria_bagnasco/orig24
1, 1.0, 0.0, 1.0, 0.0, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig2.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig4.html, annamaria_bagnasco/orig24
0, 0.33734939, 0.3043478, 0.30666667, 0.7819048, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig4.html, annamaria_bagnasco/orig34
0.2, 0.5283019, 0.3043478, 0.4, 0.727381, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig3.html, /home/valentina/workspace_nuovo/FeatureExtractor/pages4test/zNewTest/annamaria_bagnasco/orig4.html, annamaria_bagnasco/orig34
