Persona 1;//html[1]/body[1]/div[1]/div[3]/div[1]/a[2];Toscana;[1, 4, 5] (3);21;[1, 4, 5] (3);Toscana;//html[1]/body[1]/div[3]/div[2]/div[1]/div[1]/ul[1]/li[1]/span[1]/a[1]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[1]/a[3];Prato;[1, 4, 2, 5, 3] (5);15;[1, 4, 2, 5, 3] (5);Prato;//html[1]/body[1]/div[3]/div[2]/div[1]/div[1]/ul[1]/li[3]/span[1]/a[1]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[1]/a[4];Prato;[1, 4, 2, 5, 3] (5);1;[1, 4, 2, 5, 3] (5);--;//html[1]/body[1]/div[3]/div[3]/div[1]/div[9]/div[2]/div[1]/div[5]/div[1]/div[1]/div[3]/div[2]/div[2]/span[2]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[1];    >    Toscana >    Prato >    Prato   ;[1, 4, 2, 5, 3] (5);0,68;[1, 4, 2, 5, 3] (5);59100;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[6]/div[1]/div[1]/div[3]/div[2]/div[2]/span[2]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[2]/div[2]/div[1]/div[1]/span[1]/span[2];Prato;[1, 4, 2, 5, 3] (5);1;[1, 4] (2);        Pescara       ;//html[1]/body[1]/div[3]/div[3]/div[1]/div[9]/div[2]/div[1]/div[8]/div[1]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[2]/div[2]/div[1]/div[1]/span[1]/span[3];PO;[1, 4, 5, 2] (4);18,33;[1, 4, 3, 5, 2] (5);          Prato (PO)         ;//html[1]/body[1]/div[3]/div[3]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[6]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[1]/a[4];Prato;[1, 4, 2, 5, 3] (5);1;[1, 4, 2, 5, 3] (5);Prato;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[6]/div[1]/div[1]/div[3]/div[2]/div[2]/span[3]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[1]/a[3];Prato;[1, 4, 2, 5, 3] (5);1;[1, 4, 2, 5, 3] (5);Prato;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[5]/div[1]/div[1]/div[3]/div[2]/div[2]/span[2]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[2]/div[2]/div[1]/div[1]/span[1]/span[2];Prato;[1, 4, 2, 5, 3] (5);1;[1, 4, 2, 5, 3] (5);Prato;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[5]/div[1]/div[1]/div[3]/div[2]/div[2]/span[2]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[2]/div[2]/div[1]/div[1]/span[1]/span[1];59100;[1, 4, 2, 5, 3] (5);1;[1, 4, 2, 5, 3] (5);59100;//html[1]/body[1]/div[3]/div[3]/div[1]/div[8]/div[2]/div[1]/div[4]/div[1]/div[1]/div[3]/div[2]/div[2]/span[1]
