Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[2]/div[2]/div[1]/div[1]/strong[3]/a[1];Agenti E Rappresentanti Di Commercio a Prato;[1, 2, 4, 3] (4);0,71;[1, 2] (2);--;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding hidden-print']/ul[@class='list-unstyled gutter-left']/li[2]/a[@class='page']
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[2]/div[2]/div[1]/div[1]/span[1]/span[2];Prato;[1, 2, 4, 5, 3] (5);10;[1, 2, 4, 5, 3] (5);Prato;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[6]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='locality']
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[1]/h1[1];Dragoni Luciano Tvc Hi Fi - Prato ;[1, 2, 3, 4, 5] (5);5,4;[1, 2, 3, 4, 5] (5);Dragoni Luciano Tvc Hi-Fi;//html[1]/body[1]/div[5]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/div[2]/div[2]/div[1]/span[1]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[2]/div[2]/div[1]/span[1]/strong[1]/h2[1];Dragoni Luciano Tvc Hi Fi;[1, 2, 3, 4, 5] (5);0,74;[1, 2, 3, 4, 5] (5);          E-mail a Dragoni Luciano Tvc Hi-Fi✕         ;//html[1]/body[1]/div[5]/div[2]/div[1]/div[2]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[2]/div[2]/div[1]/div[1]/span[1]/span[1];59100;[1, 2, 4, 5, 3] (5);10;[1, 2, 4, 5, 3] (5);59100;//html[1]/body[1]/div[5]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/span[1]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[1]/a[4];Prato;[1, 2, 4, 5, 3] (5);15;[1, 2, 4, 5, 3] (5);Prato;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[1]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='locality']
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[1]/a[3];Prato;[1, 2, 4, 5, 3] (5);10;[1, 2, 4, 5, 3] (5);Prato ;//html[1]/body[1]/div[5]/div[2]/div[1]/div[2]/div[1]/div[2]/div[1]/div[1]/div[2]/div[2]/div[1]/div[1]/div[2]/span[2]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[1]/h1[1];Dragoni Luciano Tvc Hi Fi - Prato ;[1, 2, 3, 4, 5] (5);9,53;[1, 2, 3, 4, 5] (5);Dragoni Luciano Tvc Hi-Fi, Prato;//html[1]/body[1]/div[5]/div[2]/div[1]/div[5]/h2[1]/small[1]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[2]/div[2]/div[1]/span[1]/strong[1]/h2[1];Dragoni Luciano Tvc Hi Fi;[1, 2, 3, 4, 5] (5);0,74;[1, 2, 3, 4, 5] (5);E-mail a Dragoni Luciano Tvc Hi-Fi;//html[1]/body[1]/div[5]/div[2]/div[1]/div[2]/div[1]/div[2]/div[2]/div[1]/div[1]/div[1]/h2[1]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[1]/h1[1];Dragoni Luciano Tvc Hi Fi - Prato ;[1, 2, 3, 4, 5] (5);2,12;[1, 2, 3, 4, 5] (5);Descrizione Dragoni Luciano Tvc Hi-Fi, Prato;//h2[@id='description']
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[1]/a[4];Prato;[1, 2, 4, 5, 3] (5);15;[1, 2, 4, 5, 3] (5);Prato;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[2]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='locality']
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[2]/div[2]/div[1]/div[1]/span[1]/span[1];59100;[1, 2, 4, 5, 3] (5);10;[1, 2, 4, 5, 3] (5);59100;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[2]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='postal-code']
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[1]/h1[1];Dragoni Luciano Tvc Hi Fi - Prato ;[1, 2, 3, 4, 5] (5);4;[1, 2, 3, 4, 5] (5);Dragoni Luciano Tvc Hi-Fi, Prato;//h2[@id='top-search']/small[1]
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[2]/div[2]/div[1]/span[1]/h5[1]; AGENTI RAPPRESENTANTI COMMERCIO ;[1, 2, 4, 3] (4);0,74;[1, 2] (2);--;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding hidden-print']/ul[@class='list-unstyled gutter-left']/li[2]/a[@class='page']
Persona 1;//html[1]/body[1]/div[1]/div[3]/div[2]/div[2]/div[2]/div[1]/div[1]/span[1]/span[2];Prato;[1, 2, 4, 5, 3] (5);15;[1, 2, 4, 5, 3] (5);Prato;//html[1]/body[1]/div[@class='company-page-container container']/div[@id='main-container']/div[@id='main']/div[@class='card card-left-padding']/ol[@class='fat-numbers']/li[4]/div[@class='row']/div[@class='address-container col-sm-8']/span[@class='adr']/span[@class='locality']
